entity,label,frequency
Five,CARDINAL,1
One,CARDINAL,2
Three,CARDINAL,2
Two,CARDINAL,10
a hundred thousand,CARDINAL,1
eight,CARDINAL,3
five,CARDINAL,2
half a dozen,CARDINAL,1
nine,CARDINAL,4
one,CARDINAL,1
seven,CARDINAL,1
some half a dozen,CARDINAL,1
ten,CARDINAL,3
ten thousand,CARDINAL,2
thirty-one,CARDINAL,1
three,CARDINAL,4
twelve,CARDINAL,1
twenty,CARDINAL,4
twenty hundred thousand,CARDINAL,1
two,CARDINAL,27
Days,DATE,1
February,DATE,1
Four days,DATE,1
January,DATE,1
March,DATE,1
Monday,DATE,3
SECOND,DATE,3
Some five and twenty years,DATE,1
Sundays,DATE,1
Three and three,DATE,1
Thursday,DATE,11
Tomorrow,DATE,6
Tuesday,DATE,2
Wednesday,DATE,3
a month,DATE,2
a thousand years,DATE,1
day,DATE,1
eight and eight,DATE,1
eleven years,DATE,2
four happy days,DATE,1
fourteen,DATE,2
fourteen years,DATE,1
mo days,DATE,1
morrow,DATE,1
odd days,DATE,1
summer,DATE,2
summer first,DATE,1
the last of December,DATE,1
the least a month,DATE,1
the middle summer’s spring,DATE,1
the roughest day,DATE,1
thirty years,DATE,1
this a quarter,DATE,1
this day,DATE,4
this good day,DATE,1
this many hundred years,DATE,1
this twelvemonth,DATE,1
today,DATE,2
tomorrow,DATE,9
twelve year old,DATE,1
two years ago,DATE,1
working days,DATE,1
the Great Cham’s,EVENT,1
the Fairy Queen,FAC,1
Arragon,GPE,1
Athenian,GPE,1
Athens,GPE,20
Beguil’d,GPE,1
Betroth’d,GPE,1
Birnam,GPE,10
CLAUDIO,GPE,55
"Claudio,—whose",GPE,1
Cold,GPE,1
Counties,GPE,1
County,GPE,8
County Anselmo,GPE,1
Crete,GPE,2
Cumberland,GPE,1
East,GPE,1
Echo,GPE,1
England,GPE,8
Enter Citizens,GPE,1
Ethiope,GPE,1
Exit,GPE,2
Fife,GPE,4
Glamis,GPE,8
HERMIA,GPE,44
HERO,GPE,2
Heigh,GPE,2
India,GPE,1
Industrious,GPE,1
Inverness,GPE,1
Ireland,GPE,2
Italy,GPE,4
Mantua,GPE,13
Messina,GPE,9
Milan,GPE,1
NURSE,GPE,3
New,GPE,3
Northumberland,GPE,1
Norway,GPE,2
Norways,GPE,1
PARIS,GPE,18
PRINCE,GPE,3
Padua,GPE,1
Quail,GPE,1
SON,GPE,1
Saint Colme’s,GPE,1
Scone,GPE,3
Scotland,GPE,11
Seacoal,GPE,1
Sparta,GPE,2
Thane,GPE,1
The County,GPE,1
Thessaly,GPE,1
Tiberio,GPE,1
Venice,GPE,1
Verona,GPE,12
ambuscados,GPE,1
beachèd,GPE,1
beguil’d,GPE,1
benedictus,GPE,1
betroth’d,GPE,1
captivity.—Hail,GPE,1
cheveril,GPE,1
confirm’d,GPE,1
dale,GPE,2
endite,GPE,1
fairyland,GPE,2
in’t,GPE,1
jester,GPE,2
kerns,GPE,3
leavy,GPE,1
live.—O,GPE,1
masterdom,GPE,1
quondam,GPE,1
sev’n,GPE,1
shrewishness,GPE,1
suborn’d,GPE,1
the County,GPE,1
the County’s,GPE,1
thou,GPE,3
unfirm,GPE,1
villainies,GPE,1
Asia,LOC,1
the Western Isles,LOC,1
Five shillings,MONEY,1
forty ducats,MONEY,1
Fife.—Dismiss,NORP,1
marr’d,NORP,1
first,ORDINAL,5
th,ORDINAL,3
Army,ORG,1
Is’t,ORG,1
SON,ORG,1
STARVELING,ORG,2
course.—What,ORG,1
"night,—I",ORG,1
so:—but,ORG,1
unaccustom’d,ORG,1
ANGUS,PERSON,4
APOTHECARY,PERSON,1
Acheron,PERSON,1
Adam,PERSON,3
Adieu,PERSON,4
Adversity,PERSON,1
Aegles,PERSON,1
Ah,PERSON,3
Alack,PERSON,9
Alarum,PERSON,2
Alarums,PERSON,5
Aleppo,PERSON,1
All,PERSON,1
Alla,PERSON,1
Alone,PERSON,1
Always,PERSON,1
Amazon,PERSON,1
Ancient,PERSON,1
Angelica,PERSON,1
Angus,PERSON,7
Anoint,PERSON,1
Anon,PERSON,9
Anthony,PERSON,2
Antiopa,PERSON,1
Antonio,PERSON,9
Antony,PERSON,1
Apollo,PERSON,1
